Date,Price,Open,High,Low,Vol.,Change %,Name
9-Aug-21,"46,284.30","43,794.90","46,460.70","42,824.10",117.08K,5.69%,Bitcoin
8-Aug-21,"43,792.80","44,584.90","45,284.10","43,314.40",105.25K,-1.84%,Bitcoin
7-Aug-21,"44,614.20","42,784.70","44,697.30","42,611.00",112.84K,4.25%,Bitcoin
6-Aug-21,"42,795.40","40,868.40","43,253.40","39,905.40",111.93K,4.72%,Bitcoin
5-Aug-21,"40,867.20","39,734.40","41,366.30","37,365.40",130.60K,2.84%,Bitcoin
4-Aug-21,"39,736.90","38,188.40","39,956.50","37,556.00",79.22K,4.21%,Bitcoin
3-Aug-21,"38,130.30","39,167.40","39,766.60","37,688.20",0.26K,-2.65%,Bitcoin
2-Aug-21,"39,168.40","39,869.80","40,449.00","38,692.50",74.81K,-1.78%,Bitcoin
1-Aug-21,"39,878.30","41,510.00","42,565.00","39,556.50",80.33K,-4.03%,Bitcoin
31-Jul-21,"41,553.70","42,201.40","42,285.30","41,066.40",44.65K,-1.54%,Bitcoin
30-Jul-21,"42,203.40","40,001.10","42,264.40","38,358.40",98.45K,5.50%,Bitcoin
29-Jul-21,"40,001.40","40,009.00","40,630.70","39,340.80",75.30K,0.00%,Bitcoin
28-Jul-21,"40,003.20","39,450.40","40,862.20","38,883.80",148.92K,1.40%,Bitcoin
27-Jul-21,"39,452.00","37,294.30","39,455.90","36,427.40",100.24K,5.84%,Bitcoin
26-Jul-21,"37,276.60","35,392.30","40,522.90","35,236.70",177.63K,5.33%,Bitcoin
25-Jul-21,"35,391.10","34,392.50","35,391.10","33,881.30",65.10K,4.63%,Bitcoin
24-Jul-21,"33,824.80","33,600.50","33,955.00","33,412.90",67.14K,0.66%,Bitcoin
23-Jul-21,"33,603.30","32,297.90","33,605.60","32,041.10",66.15K,4.04%,Bitcoin
22-Jul-21,"32,298.90","32,131.70","32,585.40","31,729.40",64.87K,0.52%,Bitcoin
21-Jul-21,"32,131.40","29,794.70","32,794.60","29,519.30",118.34K,7.85%,Bitcoin
20-Jul-21,"29,793.80","30,835.40","31,040.80","29,310.20",97.46K,-3.38%,Bitcoin
19-Jul-21,"30,837.20","31,782.90","31,887.00","30,478.20",77.48K,-2.98%,Bitcoin
18-Jul-21,"31,785.40","31,517.90","32,408.20","31,220.60",57.01K,0.85%,Bitcoin
17-Jul-21,"31,518.60","31,384.40","31,914.80","31,207.80",58.06K,0.40%,Bitcoin
16-Jul-21,"31,394.00","31,842.30","32,239.80","31,062.20",70.48K,-1.40%,Bitcoin
15-Jul-21,"31,840.50","32,820.50","33,157.00","31,175.80",76.95K,-2.99%,Bitcoin
14-Jul-21,"32,820.70","32,727.80","33,051.90","31,611.20",69.56K,0.28%,Bitcoin
13-Jul-21,"32,728.10","33,106.10","33,307.70","32,259.50",60.04K,-1.16%,Bitcoin
12-Jul-21,"33,113.00","34,228.30","34,598.00","32,662.80",63.24K,-3.26%,Bitcoin
11-Jul-21,"34,227.70","33,510.80","34,580.60","33,319.80",35.72K,2.14%,Bitcoin
10-Jul-21,"33,510.60","33,797.70","34,221.00","33,056.80",50.94K,-0.85%,Bitcoin
9-Jul-21,"33,797.40","32,866.30","34,079.20","32,367.00",67.14K,2.83%,Bitcoin
8-Jul-21,"32,866.30","33,859.40","33,923.20","32,146.90",108.09K,-2.96%,Bitcoin
7-Jul-21,"33,867.80","34,228.70","35,036.60","33,801.30",72.03K,-1.05%,Bitcoin
6-Jul-21,"34,225.60","33,688.50","35,062.00","33,581.70",83.63K,1.60%,Bitcoin
