Date,Price,Open,High,Low,Vol.,Change %
5-Jul-21,137.744,144.919,144.964,134.121,13.11M,-4.94%
4-Jul-21,144.901,140.008,148.058,138.954,13.76M,3.50%
3-Jul-21,140.008,136.841,141.232,134.661,12.01M,2.32%
2-Jul-21,136.84,137.164,138.9,130.661,12.49M,-0.23%
1-Jul-21,137.162,144.15,144.267,134.313,2.24M,-4.85%
30-Jun-21,144.15,143.66,146.836,136.255,11.42M,0.34%
29-Jun-21,143.66,137.676,149.127,137.277,897.75K,4.43%
28-Jun-21,137.57,132.563,139.49,130.009,14.53M,3.84%
27-Jun-21,132.482,126.821,132.619,124.713,14.12M,4.47%
26-Jun-21,126.814,125.174,129.356,118.782,12.97M,1.28%
25-Jun-21,125.213,134.549,138.384,124.375,14.51M,-6.94%
24-Jun-21,134.548,128.966,137.142,123.752,14.14M,4.33%
23-Jun-21,128.968,119.661,133.6,115.589,13.81M,7.87%
22-Jun-21,119.557,124.524,132.875,105.117,16.18M,-4.16%
21-Jun-21,124.743,154.862,155.416,124.068,15.67M,-19.42%
20-Jun-21,154.799,152.599,156.109,143.829,15.35M,1.46%
19-Jun-21,152.566,156.013,160.697,152.465,15.19M,-2.20%
18-Jun-21,156,167.148,167.324,151.669,510.79K,-6.60%
17-Jun-21,167.017,166.56,173.37,162.997,16.68M,0.28%
16-Jun-21,166.559,175.11,177.193,164.615,18.48M,-4.95%
15-Jun-21,175.224,179.862,181.109,172.326,20.00M,-2.60%
14-Jun-21,179.893,170.893,179.991,166.415,19.32M,5.30%
13-Jun-21,170.844,161.704,171.58,156.622,18.04M,5.70%
12-Jun-21,161.633,162.849,164.204,154.248,18.43M,-0.74%
11-Jun-21,162.833,168.024,173.75,160.621,16.76M,-3.09%
10-Jun-21,168.024,172.466,174.272,162.261,23.17M,-2.51%
9-Jun-21,172.355,160.652,173.048,152.487,26.91M,7.30%
8-Jun-21,160.628,161.954,164.331,145.856,2.82M,-0.81%
7-Jun-21,161.939,176.32,182.214,160.373,29.15M,-8.14%
6-Jun-21,176.29,172.991,179.832,172.357,29.28M,1.91%
5-Jun-21,172.99,178.615,185.398,167.796,29.03M,-3.15%
4-Jun-21,178.609,192.95,193.741,169.494,28.10M,-7.43%
3-Jun-21,192.95,187.207,197.602,182.244,1.08M,3.06%
2-Jun-21,187.225,182.935,191.266,178.426,30.57M,2.35%
1-Jun-21,182.932,188.058,193.118,176.016,27.63M,-2.78%
31-May-21,188.169,170.466,188.357,163.671,27.31M,10.36%
30-May-21,170.503,163.888,180.805,155.27,26.06M,4.28%
29-May-21,163.501,177.328,188.459,157.841,26.59M,-7.78%
28-May-21,177.296,193.632,198.774,165.643,24.24M,-8.26%
27-May-21,193.255,198.901,208.583,180.561,29.85M,-2.78%
26-May-21,198.791,183.812,203.898,179.817,28.17M,8.15%
25-May-21,183.805,184.12,194.322,167.72,28.10M,-0.22%
24-May-21,184.209,142.554,184.323,139.764,4.19M,29.23%
23-May-21,142.545,169.429,176.245,118.471,35.86M,-15.86%
22-May-21,169.416,179.92,184.367,162.309,101.97M,-5.92%
21-May-21,180.075,211.77,218.596,156.734,169.66M,-14.97%
20-May-21,211.77,186.39,224.669,166.696,4.27M,13.31%
19-May-21,186.896,294.224,300.24,145.878,189.18M,-36.51%
18-May-21,294.385,281.428,317.706,279,254.45M,4.67%
17-May-21,281.264,296.31,296.31,262.362,225.05M,-5.04%
16-May-21,296.201,299.781,323.78,279.88,258.54M,-1.10%
15-May-21,299.5,326.359,331.683,296.966,262.08M,-8.19%
14-May-21,326.21,317.71,338.828,308.445,287.96M,2.74%
13-May-21,317.51,312.56,332.488,291.625,258.38M,5.02%
12-May-21,302.33,377.38,393.938,302.33,2.52M,-19.88%
11-May-21,377.369,359.183,379.478,345.199,333.25M,5.09%
10-May-21,359.106,387.812,412.802,335.177,356.90M,-7.16%
9-May-21,386.82,347.129,388.956,334.673,2.29M,11.47%
8-May-21,347.03,345.199,356.507,334.242,325.56M,0.43%
7-May-21,345.537,353.38,372.264,333.893,329.82M,-2.22%
6-May-21,353.38,356.136,364.758,318.986,2.75M,-0.72%
5-May-21,355.957,311.607,359.565,311.607,321.62M,16.58%
4-May-21,305.328,294.54,324.327,271.934,264.49M,3.70%
3-May-21,294.431,268.841,299.55,268.601,264.37M,9.51%
2-May-21,268.86,276.76,277.399,264.913,250.31M,-2.85%
1-May-21,276.75,271.15,278.468,266.024,255.01M,2.09%
30-Apr-21,271.08,255.413,273.429,252.692,243.16M,6.15%
29-Apr-21,255.379,258.501,262.62,248.831,3.13M,-1.31%
28-Apr-21,258.757,259.732,266.424,248.212,227.60M,-0.41%
27-Apr-21,259.83,247.504,263.067,243.842,236.85M,4.99%
26-Apr-21,247.49,223.917,248.118,221.451,228.04M,10.70%
25-Apr-21,223.57,224.941,235.34,211.328,928.52K,-0.72%
24-Apr-21,225.197,241.429,241.429,220.646,212.21M,-6.71%
23-Apr-21,241.399,252.997,257.108,207.384,206.15M,-4.58%
22-Apr-21,252.999,257.635,289.448,239.902,243.18M,-1.89%
21-Apr-21,257.87,260.548,276.49,250.907,240.64M,-1.19%
